编号,名称,链接,类型,作者,国家,简介,评分
52,人生海海,https://book.douban.com/subject/30475767/,小说,麦家 ,中,"★豆瓣2019年度书单·中国文学（小说类） 第一名
·
“他是全村最出奇古怪的人，古怪的名目要扳着指头一个一个数：
第一，他当过国民党军队的上校，是革命群众... ",8
53,新名字的故事,https://book.douban.com/subject/26986954/,小说,埃莱娜·费兰特,意,"只有你身为女人 才会知道这些丑陋的秘密
两个女人 50年的友谊和战争
如何成为那个更强大的她，又不被她战胜
那不勒斯四部曲NO.2
《我的天才女友》后续， ... ",9.2
54,纽约客故事集,https://book.douban.com/subject/37113259/,小说,安·比蒂,美,"二十多岁，执意要骑摩托周游全国，因为这样可以感受空气的变化；
三四十岁，争取到每周二晚上的独处时光，远离丈夫、孩子、琐事；
五六十岁，打电话给远方的女儿，却... ",8.6
55,克莱因壶,https://book.douban.com/subject/33658616/,小说,冈岛二人,日,"什么时候你开始怀疑这个世界是假的？
.
日本虚拟现实VR题材开山杰作，
超前《盗梦空间》20年！
传奇推理作家组合冈岛二人预言之书，以超强的技术预见力，30... ",8.8
56,维吉尔之死,https://book.douban.com/subject/36933259/,小说,赫尔曼·布洛赫,奥地利,"媲美《尤利西斯》的现代经典，20世纪中欧文学巨擘赫尔曼·布洛赫至高代表作，译者二十年磨一剑，中文简体版面世！
····
【编辑推荐】
1.托马斯·曼、卡尔·... ",8.9
57,霍乱时期的爱情,https://book.douban.com/subject/10594787/,小说,加西亚·马尔克斯,哥伦比亚,"★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史... ",9
58,雅各布之书,https://book.douban.com/subject/36848782/,小说,奥尔加·托卡尔丘克 ,日,"✨“文学女巫”奥尔加·托卡尔丘克颠覆常规的野心之作
✨中文版1038页，出场人物200余位，史料插图超百幅
✨自波兰语原版出版至今时隔十年，万千读者翘首以待... ",9.1
59,消失的13级台阶,https://book.douban.com/subject/34996429/,小说,高野和明,日,"【内容简介】
一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……
死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧... ",8.6
60,沧浪之水,https://book.douban.com/subject/1054917/,小说,阎真 ,中,作者以娓娓而谈的文笔和行云流水般的故事，写出医学研究生池大为空怀壮志、无职无权的苦，时来运转、有名有利的难；在真切地展示他的人生旅程的同时，也把困扰他的人生... ,8.4
61,草民,https://book.douban.com/subject/36897370/,小说,蔡崇达 ,中,"·
草的生命不是为了让他人欣赏，草如其自身一样生生不息地活着
草随风俯仰，同时紧紧抓住土壤；草必须成片，必须在底部连接
我们都在被风刮倒，同时也是与风舞蹈
... ",8.1
62,我们八月见,https://book.douban.com/subject/36754770/,小说,加西亚·马尔克斯,哥伦比亚,"★加西亚·马尔克斯逝世十周年，遗作小说全球同步首发
★献给命运，献给欲望，献给未被岁月摧磨的欢愉
★作家晚年改稿五版，与记忆力和死亡角逐、顶风破浪的最后之作... ",7.7
63,失语者,https://book.douban.com/subject/36438780/,小说,韩江,韩,"入选法国美第奇文学奖短名单
◆诺贝尔文学奖热门提名人选、亚洲首位布克国际文学奖得主 韩江《素食者》后
调动鲜血与热泪谱写长篇新作《失语者》。为了抗争语言中存... ",7.2
64,大医·破晓篇,https://book.douban.com/subject/36069426/,小说,马伯庸 ,中,"《大医·破晓篇》是马伯庸2022年全新长篇历史小说。
挽亡图存、强国保种，这是医者在清末变局中的一声呐喊。
大医若史，以济世之仁心，见证大时代的百年波澜。
... ",8.6
65,红楼梦,https://book.douban.com/subject/1007305/,小说,曹雪芹 著、高鹗,清,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主... ,9.6
66,怪屋谜案,https://book.douban.com/subject/36407256/,小说,雨穴,日,"★超越东野圭吾、伊坂幸太郎，日本亚马逊悬疑推理No.1，网红视频博主、TikTok大热门、人气作家雨穴话题作品！磨铁天猫旗舰店独家销售中！
日本亚马逊4.5... ",6.6
67,离开的，留下的,https://book.douban.com/subject/27104959/,小说,埃莱娜·费兰特,意,"两个女人 50年的友谊和战争
那不勒斯四部曲NO.3
全球畅销近千万册 被翻译成40多种语言
“我希望她在场，这是我写作的目的。”
《我的天才女友》《新名字... ",8.9
68,三体,https://book.douban.com/subject/2567698/,小说,刘慈欣 ,中,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的... ,8.9
69,哈利·波特,https://book.douban.com/subject/24531956/,小说,J.K.罗琳 (J.K.Rowling) ,日,"《哈利·波特(共7册)(精)》编著者J.K.罗琳。
    《哈利·波特(共7册)(精)》内容提要：2000年的一个深夜，在美国书店的烛光中，穿着黑斗篷，戴... ",9.7
70,追风筝的人,https://book.douban.com/subject/1770782/,小说,卡勒德·胡赛尼,美,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟... ,8.9
71,一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,小说,弗雷德里克·巴克曼,瑞典,来认识一下欧维，这个59岁的老头，脾气古怪，带着坚不可摧的原则、每天恪守的常规以及随时发飙的脾性在社区晃来晃去，被背地里称为“地狱来的恶邻”。他每天一大早就... ,9.1
72,动物农场,https://book.douban.com/subject/4908879/,小说,乔治·奥威尔,英,《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一个... ,9.5
73,平凡的世界,https://book.douban.com/subject/10517238/,小说,路遥 ,中,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人... ,9
74,诡计策划师,https://book.douban.com/subject/37101170/,小说,片冈翔,日,"◎搞笑无厘头，电波系漫才推理，不按常理出牌的王道本格！
◎吐槽犀利、恪守规则的诡计策划师，搭档粗心冒失、自称名侦探转世的女仆。
不出现死者的“杀人计划”，孤... ",7.4
75,悲伤的物理学,https://book.douban.com/subject/36932547/,小说,格奥尔基·戈斯波丁诺夫,保加利亚,"◆来自全世界最悲伤的地方，版权售出26国
◆诺奖得主奥尔加·托卡丘克盛赞，布克国际奖得主代表作
◆全速运转的故事对撞机，1000个悲伤的基本粒子旋转狂欢
◆... ",8.8
76,隐墙,https://book.douban.com/subject/36698238/,小说,玛尔伦·豪斯霍费尔,奥地利,"⭕ 世界毁灭了，我才能“活”下去
⭕ 诺奖得主多丽丝·莱辛、埃尔夫丽德·耶利内克，《小说机杼》作者詹姆斯·伍德，朋克教母帕蒂·史密斯盛赞推荐！
奥地利国家大... ",8.8
77,六个说谎的大学生,https://book.douban.com/subject/36283547/,小说,浅仓秋成,日,"★豆瓣2023年度推理·悬疑图书TOP1。主持人/演员杨迪五星推荐。
★大学生求职前必看小说。
★《金色梦乡》作者伊坂幸太郎公开表示：“2021年看过的最好... ",7.7
78,河流之齿,https://book.douban.com/subject/36980164/,小说,史迈 ,中,"这个世界好像做好了十全的准备,随时等待迎接一个崩溃的人。
年轻的家庭主妇姚蔓意外痛失爱女，平静的生活由此被打破，当希望和力量不再，姚蔓也渐渐失去了活下去的勇... ",8.1
79,夜晚的游戏,https://book.douban.com/subject/37039141/,小说,斯蒂格·达格曼,瑞典,"◎编辑推荐
1.瑞典文学界轰动一时的天才作家斯蒂格·达格曼短篇小说集首次在中文世界出版。
2.勒克莱齐奥、耶利内克、门罗等三位诺贝尔文学奖得主，格雷厄姆·格... ",8.7
80,82年生的金智英,https://book.douban.com/subject/34434309/,小说,赵南柱,韩,"一个女孩要经历多少看不见的坎坷，才能跌跌撞撞地长大成人。
亚洲10年来罕见的现象级畅销书，凭口口相传在韩国销量突破100万册。
韩国书店联合会评选2017年... ",8.1
81,大宋悬疑录：貔貅刑,https://book.douban.com/subject/37008516/,小说,记无忌 ,中,"☆谜芸馆、赤乌堂2024年度本土推理榜双TOP1！
☆以北宋历史为谜题的本土悬疑小说，再现极尽繁华又神秘莫测的人间大宋！
☆戏园旱魃案、百福楼义卖案、书坊纵... ",8.8
82,恶意,https://book.douban.com/subject/26877752/,小说,东野圭吾,日,《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，... ,8.7
83,世界末日前的谋杀,https://book.douban.com/subject/36952611/,小说,荒木茜,日,"“对杀人犯来说，这儿可真是天堂啊。”
——————————————————
【编辑推荐】
★ 史上最年轻江户川乱步奖得主荒木茜
※ 23岁拿下日本推理界至高... ",7.3
84,如果我们将在25岁死去,https://book.douban.com/subject/37013827/,小说,砂川雨路,日,"如果这个世界是一个巨大的孵化厂
我是我，还是供社会运转的工具？
25岁人均寿命×工作婚姻统一分配×孩子强制上交国家
在“被规定”的幸福里，爱是一种反叛。
*... ",7.4
85,十八岁出门远行,https://book.douban.com/subject/36727285/,小说,余华 ,中,"一定要出去闯闯，哪怕鼻青脸肿！
◆余华成名作！
◆一战成名！一发表就震惊文坛，让27岁的余华开始载入中国当代文学史。
◆《十八岁出门远行》预告着余华“现象”... ",7.2
86,西线无战事,https://book.douban.com/subject/35272817/,小说,埃里希·玛丽亚·雷马克,德,"“我们才刚开始热爱生活，却不得不对这一切开炮。”
《悉达多》《人类群星闪耀时》译者、翻译家姜乙新译作，1929年德语原版直译。
6000字译后记，特别收录雷... ",9.4
87,我胆小如鼠,https://book.douban.com/subject/36727318/,小说,余华 ,中,"余华：我曾是千千万万个敏感怯懦的孩子中的一个，这是我们共同的自传！
--------------------------------------------... ",6.9
88,大明王朝1566,https://book.douban.com/subject/26925171/,小说,刘和平 ,中,"本书展现的是中国封建史上社会矛盾空前尖锐的时代，土地兼并使得大量的农民失去了赖以生存的基础，贪墨横行使得大明王朝的统治濒临崩溃。
全书以“扳倒严嵩”为主要线... ",9.5
89,第十三位陪审员,https://book.douban.com/subject/37000496/,小说,史蒂夫·卡瓦纳,英,一起轰动全国的世纪谋杀案，好莱坞巨星罗伯特的新婚妻子与保安主任双双被杀，两具尸体安静地躺在床上，舌下藏了一个说不出口的秘密——一只用一美金纸钞折成的纸蝴蝶。... ,8.6
